Noise_Type,Resolution,NL,NF1,NF2,PSNR
gaussian,64,0.05,0.05011,N/A,27.71392
salt_and_pepper,64,0.05,0.00114,N/A,27.71392
speckle,64,0.05,0.1372,N/A,27.71392
poisson,64,0.05,0.1372,N/A,27.71392
uniform,64,0.05,0.07137,N/A,27.71392
exponential,64,0.05,0.02921,N/A,27.71392
rayleigh,64,0.05,0.02914,N/A,27.71392
erlang,64,0.05,0.1501,N/A,27.71392
brownian,64,0.05,0.0801,N/A,27.71392
quantization,64,0.05,0.0,N/A,27.71392
stripe,64,0.05,0.05089,N/A,27.71392
multiplicative,64,0.05,0.13718,N/A,27.71392
gaussian,64,0.09,0.09058,N/A,22.57042
salt_and_pepper,64,0.09,0.00639,N/A,22.57042
speckle,64,0.09,0.24958,N/A,22.57042
poisson,64,0.09,0.24958,N/A,22.57042
uniform,64,0.09,0.12916,N/A,22.57042
exponential,64,0.09,0.05285,N/A,22.57042
rayleigh,64,0.09,0.05275,N/A,22.57042
erlang,64,0.09,0.40115,N/A,22.57042
brownian,64,0.09,0.14248,N/A,22.57042
quantization,64,0.09,0.0,N/A,22.57042
stripe,64,0.09,0.09206,N/A,22.57042
multiplicative,64,0.09,0.24955,N/A,22.57042
gaussian,64,0.15,0.15042,N/A,18.18219
salt_and_pepper,64,0.15,0.01981,N/A,18.18219
speckle,64,0.15,0.4223,N/A,18.18219
poisson,64,0.15,0.4223,N/A,18.18219
uniform,64,0.15,0.21446,N/A,18.18219
exponential,64,0.15,0.08799,N/A,18.18219
rayleigh,64,0.15,0.08755,N/A,18.18219
erlang,64,0.15,0.84443,N/A,18.18219
brownian,64,0.15,0.23902,N/A,18.18219
quantization,64,0.15,0.0,N/A,18.18219
stripe,64,0.15,0.15322,N/A,18.18219
multiplicative,64,0.15,0.42131,N/A,18.18219
gaussian,64,0.2,0.19846,N/A,15.82353
salt_and_pepper,64,0.2,0.03531,N/A,15.82353
speckle,64,0.2,0.59176,N/A,15.82353
poisson,64,0.2,0.59176,N/A,15.82353
uniform,64,0.2,0.28144,N/A,15.82353
exponential,64,0.2,0.11656,N/A,15.82353
rayleigh,64,0.2,0.11491,N/A,15.82353
erlang,64,0.2,1.0,N/A,15.82353
brownian,64,0.2,0.31174,N/A,15.82353
quantization,64,0.2,0.0,N/A,15.82353
stripe,64,0.2,0.20179,N/A,15.82353
multiplicative,64,0.2,0.59026,N/A,15.82353
gaussian,128,0.05,0.04971,N/A,28.01417
salt_and_pepper,128,0.05,0.00105,N/A,28.01417
speckle,128,0.05,0.14631,N/A,28.01417
poisson,128,0.05,0.14631,N/A,28.01417
uniform,128,0.05,0.06896,N/A,28.01417
exponential,128,0.05,0.02819,N/A,28.01417
rayleigh,128,0.05,0.02816,N/A,28.01417
erlang,128,0.05,0.14031,N/A,28.01417
brownian,128,0.05,0.0777,N/A,28.01417
quantization,128,0.05,0.0,N/A,28.01417
stripe,128,0.05,0.05019,N/A,28.01417
multiplicative,128,0.05,0.14634,N/A,28.01417
gaussian,128,0.09,0.09012,N/A,22.85202
salt_and_pepper,128,0.09,0.0057,N/A,22.85202
speckle,128,0.09,0.26733,N/A,22.85202
poisson,128,0.09,0.26733,N/A,22.85202
uniform,128,0.09,0.125,N/A,22.85202
exponential,128,0.09,0.05109,N/A,22.85202
rayleigh,128,0.09,0.05101,N/A,22.85202
erlang,128,0.09,0.3801,N/A,22.85202
brownian,128,0.09,0.1382,N/A,22.85202
quantization,128,0.09,0.0,N/A,22.85202
stripe,128,0.09,0.09098,N/A,22.85202
multiplicative,128,0.09,0.26732,N/A,22.85202
gaussian,128,0.15,0.15007,N/A,18.43871
salt_and_pepper,128,0.15,0.01755,N/A,18.43871
speckle,128,0.15,0.45861,N/A,18.43871
poisson,128,0.15,0.45861,N/A,18.43871
uniform,128,0.15,0.20793,N/A,18.43871
exponential,128,0.15,0.08531,N/A,18.43871
rayleigh,128,0.15,0.0849,N/A,18.43871
erlang,128,0.15,0.80831,N/A,18.43871
brownian,128,0.15,0.23412,N/A,18.43871
quantization,128,0.15,0.0,N/A,18.43871
stripe,128,0.15,0.15115,N/A,18.43871
multiplicative,128,0.15,0.45859,N/A,18.43871
gaussian,128,0.2,0.2002,N/A,15.97755
salt_and_pepper,128,0.2,0.0319,N/A,15.97755
speckle,128,0.2,0.6739,N/A,15.97755
poisson,128,0.2,0.6739,N/A,15.97755
uniform,128,0.2,0.27634,N/A,15.97755
exponential,128,0.2,0.11399,N/A,15.97755
rayleigh,128,0.2,0.11283,N/A,15.97755
erlang,128,0.2,1.0,N/A,15.97755
brownian,128,0.2,0.30583,N/A,15.97755
quantization,128,0.2,0.0,N/A,15.97755
stripe,128,0.2,0.20148,N/A,15.97755
multiplicative,128,0.2,0.67456,N/A,15.97755
