Noise_Type,Resolution,NL,NF1,NF2,PSNR
gaussian,64,0.05,0.0488109270927092,,27.722247157627677
speckle,64,0.05,0.1314674617461746,,27.722247157627677
uniform,64,0.05,0.0701417101710171,,27.722247157627677
exponential,64,0.05,0.028417299729973,,27.722247157627677
rayleigh,64,0.05,0.0286840594059405,,27.722247157627677
erlang,64,0.05,0.0165829612961296,,27.722247157627677
brownian,64,0.05,0.0897659810981097,,27.722247157627677
stripe,64,0.05,0.06441182268226814,,27.722247157627677
multiplicative,64,0.05,0.1312346714671467,,27.722247157627677
gaussian,64,0.09,0.0868376687668767,,22.67914433748152
speckle,64,0.09,0.2346055445544553,,22.67914433748152
uniform,64,0.09,0.1252270837083708,,22.67914433748152
exponential,64,0.09,0.0504914131413141,,22.67914433748152
rayleigh,64,0.09,0.051282700270027,,22.67914433748152
erlang,64,0.09,0.0295352925292529,,22.67914433748152
brownian,64,0.09,0.15477591359135912,,22.67914433748152
stripe,64,0.09,0.1134086813681367,,22.67914433748152
multiplicative,64,0.09,0.2348333393339334,,22.67914433748152
gaussian,64,0.15,0.1449772907290729,,18.23186674085758
speckle,64,0.15,0.3971011521152116,,18.23186674085758
uniform,64,0.15,0.2088707290729072,,18.23186674085758
exponential,64,0.15,0.0844847884788479,,18.23186674085758
rayleigh,64,0.15,0.0853360216021602,,18.23186674085758
erlang,64,0.15,0.049172601260126,,18.23186674085758
brownian,64,0.15,0.25814678667866775,,18.23186674085758
stripe,64,0.15,0.1850696219621961,,18.23186674085758
multiplicative,64,0.15,0.3975037893789379,,18.23186674085758
gaussian,64,0.2,0.1936504410441043,,15.73570074146132
speckle,64,0.2,0.5610944104410441,,15.73570074146132
uniform,64,0.2,0.2782672097209721,,15.73570074146132
exponential,64,0.2,0.1133747614761476,,15.73570074146132
rayleigh,64,0.2,0.1138483348334833,,15.73570074146132
erlang,64,0.2,0.0656417641764176,,15.73570074146132
brownian,64,0.2,0.3402937803780378,,15.73570074146132
stripe,64,0.2,0.24687394239423943,,15.73570074146132
multiplicative,64,0.2,0.5597326372637267,,15.73570074146132
